output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
18.5,1.93731546971371,120,120,0,120,120,Current-limited model plateau
19,1.98967534727354,120,120,0,120,120,Current-limited model plateau
19.5,2.04203522483337,120,120,0,120,120,Current-limited model plateau
20,2.0943951023932,120,120,0,120,120,Current-limited model plateau
20.5,2.14675497995302,120,120,0,120,120,Current-limited model plateau
21,2.19911485751286,120,120,0,120,120,Current-limited model plateau
21.5,2.25147473507268,120,120,0,120,120,Current-limited model plateau
22,2.30383461263251,120,120,0,120,120,Current-limited model plateau
22.5,2.35619449019234,120,120,0,120,120,Current-limited model plateau
23,2.40855436775217,120,120,0,120,120,Current-limited model plateau
23.5,2.460914245312,120,120,0,120,120,Current-limited model plateau
24,2.51327412287183,120,120,0,120,120,Current-limited model plateau
24.5,2.56563400043166,120,120,0,120,120,Current-limited model plateau
25,2.61799387799149,120,120,0,120,120,Current-limited model plateau
25.5,2.67035375555132,120,120,0,120,120,Current-limited model plateau
26,2.72271363311115,120,120,0,120,120,Current-limited model plateau
26.5,2.77507351067098,120,120,0,120,120,Current-limited model plateau
27,2.82743338823081,120,120,0,120,120,Current-limited model plateau
27.5,2.87979326579064,120,120,0,120,120,Current-limited model plateau
28,2.93215314335047,120,120,0,120,120,Current-limited model plateau
28.5,2.9845130209103,120,120,0,120,120,Current-limited model plateau
29,3.03687289847013,120,120,0,120,120,Current-limited model plateau
29.5,3.08923277602996,120,120,0,120,120,Current-limited model plateau
29.823677581864,3.12312821314048,120,120,0,120,120,Current-limited model plateau
30,3.14159265358979,120,120,0,120,120,Current-limited model plateau
30.5,3.19395253114962,120,120,0,120,120,Current-limited model plateau
31,3.24631240870945,120,120,0,120,120,Current-limited model plateau
31.5,3.29867228626928,120,120,0,120,120,Current-limited model plateau
32,3.35103216382911,120,120,0,120,120,Current-limited model plateau
32.5,3.40339204138894,120,120,0,120,120,Current-limited model plateau
33,3.45575191894877,120,120,0,120,120,Current-limited model plateau
33.5,3.5081117965086,120,120,0,120,120,Current-limited model plateau
34,3.56047167406843,120,120,0,120,120,Current-limited model plateau
34.5,3.61283155162826,120,120,0,120,120,Current-limited model plateau
35,3.66519142918809,120,120,0,120,120,Current-limited model plateau
35.5,3.71755130674792,120,120,0,120,120,Current-limited model plateau
36,3.76991118430775,120,120,0,120,120,Current-limited model plateau
36.5,3.82227106186758,120,120,0,120,120,Current-limited model plateau
37,3.87463093942741,120,120,0,120,120,Current-limited model plateau
37.5,3.92699081698724,120,120,0,120,120,Current-limited model plateau
38,3.97935069454707,120,120,0,120,120,Current-limited model plateau
38.5,4.0317105721069,120,120,0,120,120,Current-limited model plateau
39,4.08407044966673,120,120,0,120,120,Current-limited model plateau
39.5,4.13643032722656,120,120,0,120,120,Current-limited model plateau
40,4.18879020478639,120,120,0,120,120,Current-limited model plateau
40.5,4.24115008234622,120,120,0,120,120,Current-limited model plateau
41,4.29350995990605,120,120,0,120,120,Current-limited model plateau
41.5,4.34586983746588,120,120,0,120,120,Current-limited model plateau
42,4.39822971502571,120,120,0,120,120,Current-limited model plateau
42.5,4.45058959258554,120,120,0,120,120,Current-limited model plateau
43,4.50294947014537,120,120,0,120,120,Current-limited model plateau
43.5,4.5553093477052,120,120,0,120,120,Current-limited model plateau
44,4.60766922526503,120,120,0,120,120,Current-limited model plateau
44.5,4.66002910282486,120,120,0,120,120,Current-limited model plateau
45,4.71238898038469,120,120,0,120,120,Current-limited model plateau
45.5,4.76474885794452,120,120,0,120,120,Current-limited model plateau
46,4.81710873550435,120,120,0,120,120,Current-limited model plateau
46.5,4.86946861306418,120,120,0,120,120,Current-limited model plateau
47,4.92182849062401,120,120,0,120,120,Current-limited model plateau
47.5,4.97418836818384,120,120,0,120,120,Current-limited model plateau
48,5.02654824574367,120,120,0,120,120,Current-limited model plateau
48.5,5.0789081233035,120,120,0,120,120,Current-limited model plateau
49,5.13126800086333,120,120,0,120,120,Current-limited model plateau
49.5,5.18362787842316,120,120,0,120,120,Current-limited model plateau
50,5.23598775598299,120,120,0,120,120,Current-limited model plateau
50.5,5.28834763354282,120,120,0,120,120,Current-limited model plateau
51,5.34070751110265,120,120,0,120,120,Current-limited model plateau
51.5,5.39306738866248,120,120,0,120,120,Current-limited model plateau
52,5.44542726622231,120,120,0,120,120,Current-limited model plateau
52.5,5.49778714378214,120,120,0,120,120,Current-limited model plateau
53,5.55014702134197,120,120,0,120,120,Current-limited model plateau
53.5,5.6025068989018,120,120,0,120,120,Current-limited model plateau
54,5.65486677646163,120,120,0,120,120,Current-limited model plateau
54.5,5.70722665402146,120,120,0,120,120,Current-limited model plateau
55,5.75958653158129,120,120,0,120,120,Current-limited model plateau
55.5,5.81194640914112,120,120,0,120,120,Current-limited model plateau
56,5.86430628670095,120,120,0,120,120,Current-limited model plateau
56.5,5.91666616426078,120,120,0,120,120,Current-limited model plateau
57,5.96902604182061,120,120,0,120,120,Current-limited model plateau
57.5,6.02138591938044,120,120,0,120,120,Current-limited model plateau
58,6.07374579694027,120,120,0,120,120,Current-limited model plateau
58.5,6.1261056745001,120,120,0,120,120,Current-limited model plateau
59,6.17846555205993,120,120,0,120,120,Current-limited model plateau
59.5,6.23082542961976,120,120,0,120,120,Current-limited model plateau
59.5465994962217,6.23570531745279,120,120,0,120,120,Current-limited model plateau
60,6.28318530717959,120,120,0,120,120,Current-limited model plateau
60.5,6.33554518473942,120,120,0,120,120,Current-limited model plateau
61,6.38790506229925,120,120,0,120,120,Current-limited model plateau
61.5,6.44026493985908,120,120,0,120,120,Current-limited model plateau
62,6.49262481741891,120,120,0,120,120,Current-limited model plateau
62.5,6.54498469497874,120,120,0,120,120,Current-limited model plateau
63,6.59734457253857,120,120,0,120,120,Current-limited model plateau
63.5,6.64970445009839,120,120,0,120,120,Current-limited model plateau
64,6.70206432765823,120,120,0,120,120,Current-limited model plateau
64.5,6.75442420521806,120,120,0,120,120,Current-limited model plateau
65,6.80678408277788,120,120,0,120,120,Current-limited model plateau
65.5,6.85914396033771,120,120,0,120,120,Current-limited model plateau
66,6.91150383789754,120,120,0,120,120,Current-limited model plateau
66.5,6.96386371545737,120,120,0,120,120,Current-limited model plateau
67,7.0162235930172,120,120,0,120,120,Current-limited model plateau
67.5,7.06858347057703,120,120,0,120,120,Current-limited model plateau
68,7.12094334813686,120,120,0,120,120,Current-limited model plateau
68.5,7.17330322569669,120,120,0,120,120,Current-limited model plateau
69,7.22566310325652,120,120,0,120,120,Current-limited model plateau
69.5,7.27802298081635,120,120,0,120,120,Current-limited model plateau
70,7.33038285837618,120,120,0,120,120,Current-limited model plateau
70.5,7.38274273593601,120,120,0,120,120,Current-limited model plateau
71,7.43510261349584,120,120,0,120,120,Current-limited model plateau
71.5,7.48746249105567,120,120,0,120,120,Current-limited model plateau
72,7.5398223686155,120,120,0,120,120,Current-limited model plateau
72.5,7.59218224617533,120,120,0,120,120,Current-limited model plateau
73,7.64454212373516,120,120,0,120,120,Current-limited model plateau
73.5,7.69690200129499,120,120,0,120,120,Current-limited model plateau
74,7.74926187885482,120,120,0,120,120,Current-limited model plateau
74.5,7.80162175641465,120,120,0,120,120,Current-limited model plateau
75,7.85398163397448,120,120,0,120,120,Current-limited model plateau
75.5,7.90634151153431,120,120,0,120,120,Current-limited model plateau
76,7.95870138909414,120,120,0,120,120,Current-limited model plateau
76.5,8.01106126665397,120,120,0,120,120,Current-limited model plateau
77,8.0634211442138,120,120,0,120,120,Current-limited model plateau
77.5,8.11578102177363,120,120,0,120,120,Current-limited model plateau
78,8.16814089933346,120,120,0,120,120,Current-limited model plateau
78.5,8.22050077689329,120,120,0,120,120,Current-limited model plateau
79,8.27286065445312,120,120,0,120,120,Current-limited model plateau
79.5,8.32522053201295,120,120,0,120,120,Current-limited model plateau
80,8.37758040957278,120,120,0,120,120,Current-limited model plateau
80.5,8.42994028713261,120,120,0,120,120,Current-limited model plateau
81,8.48230016469244,120,120,0,120,120,Current-limited model plateau
81.5,8.53466004225227,120,120,0,120,120,Current-limited model plateau
82,8.5870199198121,120,120,0,120,120,Current-limited model plateau
82.5,8.63937979737193,120,120,0,120,120,Current-limited model plateau
83,8.69173967493176,120,120,0,120,120,Current-limited model plateau
83.5,8.74409955249159,120,120,0,120,120,Current-limited model plateau
84,8.79645943005142,120,120,0,120,120,Current-limited model plateau
84.5,8.84881930761125,120,120,0,120,120,Current-limited model plateau
85,8.90117918517108,120,120,0,120,120,Current-limited model plateau
85.5,8.95353906273091,120,120,0,120,120,Current-limited model plateau
86,9.00589894029074,120,120,0,120,120,Current-limited model plateau
86.5,9.05825881785057,120,120,0,120,120,Current-limited model plateau
87,9.1106186954104,120,120,0,120,120,Current-limited model plateau
87.5,9.16297857297023,120,120,0,120,120,Current-limited model plateau
88,9.21533845053006,120,120,0,120,120,Current-limited model plateau
88.5,9.26769832808989,120,120,0,120,120,Current-limited model plateau
89,9.32005820564972,120,120,0,120,120,Current-limited model plateau
89.2695214105793,9.34828242176509,120,120,0,120,120,Current-limited model plateau
89.5,9.37241808320955,120,120,0,120,120,Current-limited model plateau
90,9.42477796076938,120,120,0,120,120,Current-limited model plateau
90.5,9.47713783832921,120,120,0,120,120,Current-limited model plateau
91,9.52949771588904,120,120,0,120,120,Current-limited model plateau
91.0831234256927,9.53820238067229,120,120,0,120,120,Current-limited model plateau
91.5,9.58185759344887,120,120,0,120,120,Current-limited model plateau
92,9.6342174710087,120,120,0,120,120,Current-limited model plateau
92.5,9.68657734856853,120,120,0,120,120,Current-limited model plateau
