output_speed_rpm,output_speed_rad_s,motor_speed_rpm,mcb_motor_torque_nm,ideal_gear_output_torque_nm,peak_envelope_nm,safe_90pct_envelope_nm,point_source
0,0,0,0.91665,36.666,27,24.3,MathWorks MCB
0.025,0.00261799387799149,1,0.91665,36.666,27,24.3,MathWorks MCB
20.275,2.1231930350511,811,0.91665,36.666,27,24.3,MathWorks MCB
40.5,4.24115008234622,1620,0.91665,36.666,27,24.3,MathWorks MCB
60.75,6.36172512351933,2430,0.91665,36.666,27,24.3,MathWorks MCB
61.35,6.42455697659113,2454,0.90096217303599,36.0384869214396,27,24.3,MathWorks MCB
61.975,6.49000682354091,2479,0.885005217647798,35.4002087059119,27,24.3,MathWorks MCB
62.575,6.55283867661271,2503,0.869782583524995,34.7913033409998,27,24.3,MathWorks MCB
63.175,6.61567052968451,2527,0.854650796119993,34.1860318447997,27,24.3,MathWorks MCB
63.8,6.68112037663429,2552,0.838981672279865,33.5592668911946,27,24.3,MathWorks MCB
64.4,6.74395222970609,2576,0.82402542196129,32.9610168784516,27,24.3,MathWorks MCB
65.025,6.80940207665588,2601,0.808532173197792,32.3412869279117,27,24.3,MathWorks MCB
65.625,6.87223392972767,2625,0.793738040498636,31.7495216199454,27,24.3,MathWorks MCB
66.25,6.93768377667746,2650,0.778406629310335,31.1362651724134,27,24.3,MathWorks MCB
66.85,7.00051562974925,2674,0.763761070760113,30.5504428304045,27,24.3,MathWorks MCB
67.475,7.06596547669904,2699,0.74857730651229,29.9430922604916,27,24.3,MathWorks MCB
68.075,7.12879732977084,2723,0.734066606630491,29.3626642652196,27,24.3,MathWorks MCB
68.7,7.19424717672063,2748,0.719016091234715,28.7606436493886,27,24.3,MathWorks MCB
69.3,7.25707902979242,2772,0.704626305989897,28.1850522395959,27,24.3,MathWorks MCB
69.925,7.32252887674221,2797,0.689694370123445,27.5877748049378,27,24.3,MathWorks MCB
70.525,7.38536072981401,2821,0.675411260681167,27.0164504272467,27,24.3,MathWorks MCB
71.125,7.4481925828858,2845,0.661175096201177,26.4470038480471,26.4470038480471,23.8023034632424,MathWorks MCB
71.75,7.51364242983559,2870,0.646391844353366,25.8556737741346,25.8556737741346,23.2701063967212,MathWorks MCB
72.35,7.57647428290738,2894,0.632240425306038,25.2896170122415,25.2896170122415,22.7606553110174,MathWorks MCB
72.975,7.64192412985717,2919,0.617537534341052,24.7015013736421,24.7015013736421,22.2313512362779,MathWorks MCB
73.575,7.70475598292897,2943,0.603455521886836,24.1382208754734,24.1382208754734,21.7243987879261,MathWorks MCB
74.2,7.77020582987875,2968,0.588816702615367,23.5526681046147,23.5526681046147,21.1974012941532,MathWorks MCB
74.8,7.83303768295055,2992,0.574788129230489,22.9915251692196,22.9915251692196,20.6923726522976,MathWorks MCB
75.425,7.89848752990034,3017,0.560196369399244,22.4078547759698,22.4078547759698,20.1670692983728,MathWorks MCB
76.025,7.96131938297213,3041,0.54620450215289,21.8481800861156,21.8481800861156,19.6633620775041,MathWorks MCB
76.65,8.02676922992192,3066,0.531641911156551,21.2656764462621,21.2656764462621,19.1391088016358,MathWorks MCB
77.25,8.08960108299372,3090,0.517669088891638,20.7067635556655,20.7067635556655,18.636087200099,MathWorks MCB
77.875,8.1550509299435,3115,0.50311671217627,20.1246684870508,20.1246684870508,18.1122016383457,MathWorks MCB
78.475,8.2178827830153,3139,0.489144150161727,19.5657660064691,19.5657660064691,17.6091894058222,MathWorks MCB
79.1,8.28333262996509,3164,0.474581745636868,18.9832698254747,18.9832698254747,17.0849428429272,MathWorks MCB
79.7,8.34616448303688,3188,0.46058929921566,18.4235719686264,18.4235719686264,16.5812147717638,MathWorks MCB
80.3,8.40899633610868,3212,0.446579277414541,17.8631710965816,17.8631710965816,16.0768539869235,MathWorks MCB
80.925,8.47444618305847,3237,0.431960941451529,17.2784376580611,17.2784376580611,15.550593892255,MathWorks MCB
81.525,8.53727803613026,3261,0.417897861599392,16.7159144639757,16.7159144639757,15.0443230175781,MathWorks MCB
82.15,8.60272788308005,3286,0.403211584751458,16.1284633900583,16.1284633900583,14.5156170510525,MathWorks MCB
82.75,8.66555973615185,3310,0.38907051139698,15.5628204558792,15.5628204558792,14.0065384102913,MathWorks MCB
83.375,8.73100958310163,3335,0.374288981340402,14.9715592536161,14.9715592536161,13.4744033282545,MathWorks MCB
83.975,8.79384143617343,3359,0.3600422718504,14.401690874016,14.401690874016,12.9615217866144,MathWorks MCB
84.6,8.85929128312322,3384,0.345135047028499,13.8054018811399,13.8054018811399,12.4248616930259,MathWorks MCB
85.2,8.92212313619501,3408,0.330751719107615,13.2300687643046,13.2300687643046,11.9070618878741,MathWorks MCB
85.825,8.9875729831448,3433,0.31568448185294,12.6273792741176,12.6273792741176,11.3646413467058,MathWorks MCB
86.425,9.05040483621659,3457,0.301129397768743,12.0451759107497,12.0451759107497,10.8406583196748,MathWorks MCB
87.05,9.11585468316638,3482,0.285862983487431,11.4345193394973,11.4345193394973,10.2910674055475,MathWorks MCB
87.65,9.17868653623818,3506,0.271095781004907,10.8438312401963,10.8438312401963,9.75944811617665,MathWorks MCB
88.25,9.24151838930997,3530,0.256208011461644,10.2483204584658,10.2483204584658,9.22348841261918,MathWorks MCB
88.875,9.30696823625976,3555,0.240558561018271,9.62234244073084,9.62234244073084,8.66010819665776,MathWorks MCB
89.475,9.36980008933156,3579,0.22538564472595,9.01542578903801,9.01542578903801,8.11388321013421,MathWorks MCB
90.1,9.43524993628134,3604,0.209408978656693,8.37635914626772,8.37635914626772,7.53872323164095,MathWorks MCB
90.7,9.49808178935314,3628,0.193890175653698,7.75560702614792,7.75560702614792,6.98004632353313,MathWorks MCB
91.325,9.56353163630293,3653,0.177516738823672,7.10066955294687,7.10066955294687,6.39060259765219,MathWorks MCB
91.925,9.62636348937472,3677,0.161578295988644,6.46313183954575,6.46313183954575,5.81681865559118,MathWorks MCB
92.55,9.69181333632451,3702,0.144722782261349,5.78891129045397,5.78891129045397,5.21002016140857,MathWorks MCB
93.15,9.75464518939631,3726,0.128273269754203,5.1309307901681,5.1309307901681,4.61783771115129,MathWorks MCB
93.775,9.82009503634609,3751,0.110828694302006,4.43314777208025,4.43314777208025,3.98983299487222,MathWorks MCB
94.375,9.88292688941789,3775,0.093751999379257,3.75007997517028,3.75007997517028,3.37507197765325,MathWorks MCB
95,9.94837673636768,3800,0.0755806176701144,3.02322470680458,3.02322470680458,2.72090223612412,MathWorks MCB
95.6,10.0112085894395,3824,0.0577249787404652,2.30899914961861,2.30899914961861,2.07809923465675,MathWorks MCB
96.225,10.0766584363893,3849,0.0386437299974871,1.54574919989949,1.54574919989949,1.39117427990954,MathWorks MCB
96.825,10.1394902894611,3873,0.0198036868520127,0.792147474080509,0.792147474080509,0.712932726672458,MathWorks MCB
97.425,10.2023221425329,3897,0.000382505251817666,0.0153002100727066,0.0153002100727066,0.013770189065436,MathWorks MCB
100,10.471975511966,4000,0,0,0,0,Manufacturer no-load anchor
