output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
35.5,3.71755130674792,120,120,0,120,120,Manufacturer peak plateau extrapolation
36,3.76991118430775,120,120,0,120,120,Manufacturer peak plateau extrapolation
36.5,3.82227106186758,120,120,0,120,120,Manufacturer peak plateau extrapolation
37,3.87463093942741,120,120,0,120,120,Manufacturer peak plateau extrapolation
37.5,3.92699081698724,120,120,0,120,120,Manufacturer peak plateau extrapolation
38,3.97935069454707,120,120,0,120,120,Manufacturer peak plateau extrapolation
38.5,4.0317105721069,120,120,0,120,120,Manufacturer peak plateau extrapolation
39,4.08407044966673,120,120,0,120,120,Manufacturer peak plateau extrapolation
39.5,4.13643032722656,120,120,0,120,120,Manufacturer peak plateau extrapolation
40,4.18879020478639,120,120,0,120,120,Manufacturer peak plateau extrapolation
40.5,4.24115008234622,120,120,0,120,120,Manufacturer peak plateau extrapolation
41,4.29350995990605,120,120,0,120,120,Manufacturer peak plateau extrapolation
41.5,4.34586983746588,120,120,0,120,120,Manufacturer peak plateau extrapolation
42,4.39822971502571,120,120,0,120,120,Manufacturer peak plateau extrapolation
42.5,4.45058959258554,120,120,0,120,120,Manufacturer peak plateau extrapolation
43,4.50294947014537,120,120,0,120,120,Manufacturer peak plateau extrapolation
43.5,4.5553093477052,120,120,0,120,120,Manufacturer peak plateau extrapolation
44,4.60766922526503,120,120,0,120,120,Manufacturer peak plateau extrapolation
44.5,4.66002910282486,120,120,0,120,120,Manufacturer peak plateau extrapolation
45,4.71238898038469,120,120,0,120,120,Manufacturer peak plateau extrapolation
45.5,4.76474885794452,120,120,0,120,120,Manufacturer peak plateau extrapolation
46,4.81710873550435,120,120,0,120,120,Manufacturer peak plateau extrapolation
46.5,4.86946861306418,120,120,0,120,120,Manufacturer peak plateau extrapolation
47,4.92182849062401,120,120,0,120,120,Manufacturer peak plateau extrapolation
47.5,4.97418836818384,120,120,0,120,120,Manufacturer peak plateau extrapolation
48,5.02654824574367,120,120,0,120,120,Manufacturer peak plateau extrapolation
48.5,5.0789081233035,120,120,0,120,120,Manufacturer peak plateau extrapolation
49,5.13126800086333,120,120,0,120,120,Manufacturer peak plateau extrapolation
49.5,5.18362787842316,120,120,0,120,120,Manufacturer peak plateau extrapolation
50,5.23598775598299,120,120,0,120,120,Manufacturer peak plateau extrapolation
50.5,5.28834763354282,120,120,0,120,120,Manufacturer peak plateau extrapolation
51,5.34070751110265,120,120,0,120,120,Manufacturer peak plateau extrapolation
51.5,5.39306738866248,120,120,0,120,120,Manufacturer peak plateau extrapolation
52,5.44542726622231,120,120,0,120,120,Manufacturer peak plateau extrapolation
52.5,5.49778714378214,120,120,0,120,120,Manufacturer peak plateau extrapolation
53,5.55014702134197,120,120,0,120,120,Manufacturer peak plateau extrapolation
53.5,5.6025068989018,120,120,0,120,120,Manufacturer peak plateau extrapolation
54,5.65486677646163,120,120,0,120,120,Manufacturer peak plateau extrapolation
54.5,5.70722665402146,120,120,0,120,120,Manufacturer peak plateau extrapolation
55,5.75958653158129,120,120,0,120,120,Manufacturer peak plateau extrapolation
55.5,5.81194640914112,120,120,0,120,120,Manufacturer peak plateau extrapolation
56,5.86430628670095,120,120,0,120,120,Manufacturer peak plateau extrapolation
56.5,5.91666616426078,120,120,0,120,120,Manufacturer peak plateau extrapolation
57,5.96902604182061,120,120,0,120,120,Manufacturer peak plateau extrapolation
57.5,6.02138591938044,120,120,0,120,120,Manufacturer peak plateau extrapolation
58,6.07374579694027,120,120,0,120,120,Manufacturer peak plateau extrapolation
58.5,6.1261056745001,120,120,0,120,120,Manufacturer peak plateau extrapolation
59,6.17846555205993,120,120,0,120,120,Manufacturer peak plateau extrapolation
59.5,6.23082542961976,120,120,0,120,120,Manufacturer peak plateau extrapolation
60,6.28318530717959,120,120,0,120,120,Manufacturer peak plateau extrapolation
60.5,6.33554518473942,120,120,0,120,120,Manufacturer peak plateau extrapolation
61,6.38790506229925,120,120,0,120,120,Manufacturer peak plateau extrapolation
61.5,6.44026493985908,120,120,0,120,120,Manufacturer peak plateau extrapolation
62,6.49262481741891,120,120,0,120,120,Manufacturer peak plateau extrapolation
62.5,6.54498469497874,120,120,0,120,120,Manufacturer peak plateau extrapolation
63,6.59734457253857,120,120,0,120,120,Manufacturer peak plateau extrapolation
63.5,6.64970445009839,120,120,0,120,120,Manufacturer peak plateau extrapolation
64,6.70206432765823,120,120,0,120,120,Manufacturer peak plateau extrapolation
64.5,6.75442420521806,120,120,0,120,120,Manufacturer peak plateau extrapolation
65,6.80678408277788,120,120,0,120,120,Manufacturer peak plateau extrapolation
65.5,6.85914396033771,120,120,0,120,120,Manufacturer peak plateau extrapolation
66,6.91150383789754,120,120,0,120,120,Manufacturer peak plateau extrapolation
66.5,6.96386371545737,120,120,0,120,120,Manufacturer peak plateau extrapolation
67,7.0162235930172,120,120,0,120,120,Manufacturer peak plateau extrapolation
67.5,7.06858347057703,120,120,0,120,120,Manufacturer peak plateau extrapolation
68,7.12094334813686,120,120,0,120,120,Manufacturer peak plateau extrapolation
68.5,7.17330322569669,120,120,0,120,120,Manufacturer peak plateau extrapolation
69,7.22566310325652,120,120,0,120,120,Manufacturer peak plateau extrapolation
69.5,7.27802298081635,120,120,0,120,120,Manufacturer peak plateau extrapolation
70,7.33038285837618,120,120,0,120,120,Manufacturer peak plateau extrapolation
