output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
0,0,36,36,0,36,36,Manufacturer peak plateau extrapolation
1.2,0.125663706143592,36,36,0,36,36,Manufacturer peak plateau extrapolation
2.4,0.251327412287183,36,36,0,36,36,Manufacturer peak plateau extrapolation
3.6,0.376991118430775,36,36,0,36,36,Manufacturer peak plateau extrapolation
4.8,0.502654824574367,36,36,0,36,36,Manufacturer peak plateau extrapolation
6,0.628318530717959,36,36,0,36,36,Manufacturer peak plateau extrapolation
7.2,0.75398223686155,36,36,0,36,36,Manufacturer peak plateau extrapolation
8.4,0.879645943005142,36,36,0,36,36,Manufacturer peak plateau extrapolation
9.6,1.00530964914873,36,36,0,36,36,Manufacturer peak plateau extrapolation
10.8,1.13097335529233,36,36,0,36,36,Manufacturer peak plateau extrapolation
12,1.25663706143592,36,36,0,36,36,Manufacturer peak plateau extrapolation
13.2,1.38230076757951,36,36,0,36,36,Manufacturer peak plateau extrapolation
14.4,1.5079644737231,36,36,0,36,36,Manufacturer peak plateau extrapolation
15.6,1.63362817986669,36,36,0,36,36,Manufacturer peak plateau extrapolation
16.8,1.75929188601028,36,36,0,36,36,Manufacturer peak plateau extrapolation
18,1.88495559215388,36,36,0,36,36,Manufacturer peak plateau extrapolation
19.2,2.01061929829747,36,36,0,36,36,Manufacturer peak plateau extrapolation
20.4,2.13628300444106,36,36,0,36,36,Manufacturer peak plateau extrapolation
21.6,2.26194671058465,36,36,0,36,36,Manufacturer peak plateau extrapolation
22.8,2.38761041672824,36,36,0,36,36,Manufacturer peak plateau extrapolation
24,2.51327412287183,36,36,0,36,36,Manufacturer peak plateau extrapolation
25.2,2.63893782901543,36,36,0,36,36,Manufacturer peak plateau extrapolation
26.4,2.76460153515902,36,36,0,36,36,Manufacturer peak plateau extrapolation
27.6,2.89026524130261,36,36,0,36,36,Manufacturer peak plateau extrapolation
28.8,3.0159289474462,36,36,0,36,36,Manufacturer peak plateau extrapolation
30,3.14159265358979,36,36,0,36,36,Manufacturer peak plateau extrapolation
31.2,3.26725635973338,36,36,0,36,36,Manufacturer peak plateau extrapolation
32.4,3.39292006587698,36,36,0,36,36,Manufacturer peak plateau extrapolation
33.6,3.51858377202057,36,36,0,36,36,Manufacturer peak plateau extrapolation
34.8,3.64424747816416,36,36,0,36,36,Manufacturer peak plateau extrapolation
36,3.76991118430775,36,36,0,36,36,Manufacturer peak plateau extrapolation
37.2,3.89557489045134,36,36,0,36,36,Manufacturer peak plateau extrapolation
38.4,4.02123859659493,36,36,0,36,36,Manufacturer peak plateau extrapolation
39.6,4.14690230273853,36,36,0,36,36,Manufacturer peak plateau extrapolation
40.8,4.27256600888212,36,36,0,36,36,Manufacturer peak plateau extrapolation
42,4.39822971502571,36,36,0,36,36,Manufacturer peak plateau extrapolation
43.2,4.5238934211693,36,36,0,36,36,Manufacturer peak plateau extrapolation
44.4,4.64955712731289,36,36,0,36,36,Manufacturer peak plateau extrapolation
45.6,4.77522083345649,36,36,0,36,36,Manufacturer peak plateau extrapolation
46.8,4.90088453960008,36,36,0,36,36,Manufacturer peak plateau extrapolation
48,5.02654824574367,36,36,0,36,36,Manufacturer peak plateau extrapolation
49.2,5.15221195188726,36,36,0,36,36,Manufacturer peak plateau extrapolation
50.4,5.27787565803085,36,36,0,36,36,Manufacturer peak plateau extrapolation
51.6,5.40353936417444,36,36,0,36,36,Manufacturer peak plateau extrapolation
52.8,5.52920307031804,36,36,0,36,36,Manufacturer peak plateau extrapolation
